The graph BA3 has 1000 nodes and 2991 edges
BA3 1 / 84; |X|: 1, |Z|: 0; it: 1 DC
T: 0.4625711441040039; N: 0.6515753269195557BA3 5 / 84; |X|: 1, |Z|: 20; it: 2 DC
T: 0.717289924621582; N: 0.32224273681640625BA3 5 / 84; |X|: 1, |Z|: 20; it: 3 DC
T: 0.42328476905822754; N: 0.3487718105316162BA3 5 / 84; |X|: 1, |Z|: 20; it: 4 DC
T: 0.31787705421447754; N: 0.2770063877105713BA3 5 / 84; |X|: 1, |Z|: 20; it: 5 DC
T: 0.5579133033752441; N: 0.21688437461853027BA3 5 / 84; |X|: 1, |Z|: 20; it: 6 DC
T: 0.496462345123291; N: 0.3744635581970215BA3 5 / 84; |X|: 1, |Z|: 20; it: 7 DC
T: 0.711479902267456; N: 1.0282316207885742BA3 5 / 84; |X|: 1, |Z|: 20; it: 8 DC
T: 0.2659912109375; N: 0.3278977870941162BA3 5 / 84; |X|: 1, |Z|: 20; it: 9 DC
T: 0.3262453079223633; N: 0.15526866912841797BA3 5 / 84; |X|: 1, |Z|: 20; it: 10 DC
T: 0.2149829864501953; N: 0.39399099349975586BA3 5 / 84; |X|: 1, |Z|: 20; it: 11 DC
T: 0.37939453125; N: 0.22877907752990723BA3 5 / 84; |X|: 1, |Z|: 20; it: 12 DC
T: 0.2556314468383789; N: 0.17894697189331055BA3 5 / 84; |X|: 1, |Z|: 20; it: 13 DC
T: 0.397977352142334; N: 0.2006394863128662BA3 5 / 84; |X|: 1, |Z|: 20; it: 14 DC
T: 0.7051494121551514; N: 0.3437058925628662BA3 5 / 84; |X|: 1, |Z|: 20; it: 15 DC
T: 0.6528069972991943; N: 0.398761510848999BA3 5 / 84; |X|: 1, |Z|: 20; it: 16 DC
T: 0.6928389072418213; N: 0.48596978187561035BA3 5 / 84; |X|: 1, |Z|: 20; it: 17 DC
T: 0.633458137512207; N: 0.26818251609802246BA3 5 / 84; |X|: 1, |Z|: 20; it: 18 DC
T: 0.46054601669311523; N: 0.3151123523712158BA3 5 / 84; |X|: 1, |Z|: 20; it: 19 DC
T: 0.458904504776001; N: 0.28938746452331543BA3 5 / 84; |X|: 1, |Z|: 20; it: 20 DC
T: 1.0511324405670166; N: 0.2480604648590088BA3 5 / 84; |X|: 1, |Z|: 20; it: 21 DC
T: 1.127147912979126; N: 0.29311609268188477BA3 5 / 84; |X|: 1, |Z|: 20; it: 22 DC
T: 0.6723108291625977; N: 0.48038291931152344BA3 5 / 84; |X|: 1, |Z|: 20; it: 23 DC
T: 0.2846221923828125; N: 0.3501765727996826BA3 5 / 84; |X|: 1, |Z|: 20; it: 24 DC
T: 0.8064837455749512; N: 0.39180660247802734BA3 5 / 84; |X|: 1, |Z|: 20; it: 25 DC
T: 0.519007682800293; N: 0.2694416046142578BA3 5 / 84; |X|: 1, |Z|: 20; it: 26 DC
T: 0.4826993942260742; N: 0.2224276065826416BA3 5 / 84; |X|: 1, |Z|: 20; it: 27 DC
T: 0.2693769931793213; N: 0.32845401763916016BA3 5 / 84; |X|: 1, |Z|: 20; it: 28 DC
T: 0.5952086448669434; N: 0.10383749008178711BA3 5 / 84; |X|: 1, |Z|: 20; it: 29 DC
T: 0.45859694480895996; N: 0.34291648864746094BA3 5 / 84; |X|: 1, |Z|: 20; it: 30 DC
T: 0.5925257205963135; N: 0.27808451652526855BA3 6 / 84; |X|: 1, |Z|: 50; it: 1 DC
T: 0.5729613304138184; N: 0.41830945014953613BA3 6 / 84; |X|: 1, |Z|: 50; it: 2 DC
T: 0.3491973876953125; N: 0.3186650276184082BA3 6 / 84; |X|: 1, |Z|: 50; it: 3 DC
T: 0.6169211864471436; N: 0.5340156555175781BA3 6 / 84; |X|: 1, |Z|: 50; it: 4 DC
T: 0.666060209274292; N: 0.29057788848876953BA3 6 / 84; |X|: 1, |Z|: 50; it: 5 DC
T: 0.5405890941619873; N: 1.5614454746246338BA3 6 / 84; |X|: 1, |Z|: 50; it: 6 DC
T: 0.6018531322479248; N: 0.656280517578125BA3 6 / 84; |X|: 1, |Z|: 50; it: 7 DC
T: 0.5488877296447754; N: 0.21417665481567383BA3 6 / 84; |X|: 1, |Z|: 50; it: 8 DC
T: 0.4357295036315918; N: 0.3954892158508301BA3 6 / 84; |X|: 1, |Z|: 50; it: 9 DC
T: 0.2975337505340576; N: 0.37656378746032715BA3 6 / 84; |X|: 1, |Z|: 50; it: 10 DC
T: 0.537184476852417; N: 0.2145540714263916BA3 6 / 84; |X|: 1, |Z|: 50; it: 11 DC
T: 0.3737919330596924; N: 0.29177117347717285BA3 6 / 84; |X|: 1, |Z|: 50; it: 12 DC
T: 0.5550370216369629; N: 0.316178560256958BA3 6 / 84; |X|: 1, |Z|: 50; it: 13 DC
T: 0.3756980895996094; N: 0.3129572868347168BA3 6 / 84; |X|: 1, |Z|: 50; it: 14 DC
T: 0.36667704582214355; N: 0.1286919116973877BA3 6 / 84; |X|: 1, |Z|: 50; it: 15 DC
T: 0.19157171249389648; N: 0.3843705654144287BA3 6 / 84; |X|: 1, |Z|: 50; it: 16 DC
T: 0.33054089546203613; N: 0.22000885009765625BA3 6 / 84; |X|: 1, |Z|: 50; it: 17 DC
T: 0.1800858974456787; N: 0.26390814781188965BA3 6 / 84; |X|: 1, |Z|: 50; it: 18 DC
T: 0.39884018898010254; N: 0.3451344966888428BA3 6 / 84; |X|: 1, |Z|: 50; it: 19 DC
T: 0.3231532573699951; N: 0.39695286750793457BA3 6 / 84; |X|: 1, |Z|: 50; it: 20 DC
T: 0.8548710346221924; N: 0.35655999183654785BA3 6 / 84; |X|: 1, |Z|: 50; it: 21 DC
T: 0.3059990406036377; N: 0.538762092590332BA3 6 / 84; |X|: 1, |Z|: 50; it: 22 DC
T: 0.36450791358947754; N: 0.23884987831115723BA3 6 / 84; |X|: 1, |Z|: 50; it: 23 DC
T: 0.18662285804748535; N: 0.11485981941223145BA3 6 / 84; |X|: 1, |Z|: 50; it: 24 DC
T: 0.514376163482666; N: 0.5753223896026611BA3 6 / 84; |X|: 1, |Z|: 50; it: 25 DC
